english_words,french_words,frequency
abide,respecter,42
about,sur,370
above,au dessus,124
abroad,à l'étranger,63
absence,absence,55
abuse,abuser de,73
according,selon,34
account,Compte,54
accuse,accuser,49
acquainted,connaissance,41
action,action,231
advantage,avantage,86
advice,Conseil,43
affairs,affaires,66
affection,affection,113
affections,affections,40
afraid,peur,41
after,après,462
afterwards,ensuite,38
again,encore,1212
alive,vivant,89
almost,presque,139
alone,seul,232
along,le long de,108
already,déjà,139
although,bien que,37
always,toujours,59
ambition,ambition,46
ancient,ancien,75
angel,ange,126
anger,colère,353
another,un autre,370
answer,répondre,455
anything,n'importe quoi,100
apparel,vêtements,47
appear,apparaître,213
appears,apparaît,49
approach,approche,87
argument,argument,78
armour,armure,54
aside,de côté,132
asleep,endormi,59
assure,assurer,63
attend,assister,279
attended,assisté,43
authority,autorité,51
avoid,éviter,48
awake,éveillé,68
awhile,quelque temps,101
banish,bannir,192
barren,Dénudé,40
bastard,Connard,90
battle,bataille,146
beard,barbe,124
bearing,palier,66
bears,ours,105
beast,la bête,129
beaten,battu,48
beauty,beauté,224
because,car,81
become,devenir,184
before,avant,629
beggar,mendiant,119
begin,commencer,173
behalf,nom,46
behind,derrière,114
behold,voir,154
being,étant,548
believe,croyez,197
belike,être comme,22
below,au dessous de,52
benefit,avantage,47
besides,outre,49
betray,trahir,67
better,mieux,583
between,entre,195
beyond,au-delà,43
birth,naissance,101
bishop,évêque,36
bitter,amer,95
black,noir,172
blame,faire des reproches,93
bless,bénir,244
blessing,bénédiction,62
blest,heureux,80
blind,aveugle,102
blood,du sang,933
blows,coups,70
blunt,cru,38
blush,rougir,84
bodies,corps,44
bones,des os,76
borne,supporté,93
bottom,bas,40
bought,acheté,51
bound,lié,219
bounty,prime,41
brain,cerveau,148
brains,cerveaux,49
brave,courageux,205
breast,Sein,116
breath,souffle,350
breed,race,106
brief,bref,100
bright,brillant,80
bring,apporter,447
broke,cassé,234
brook,ruisseau,50
brother,frère,682
brought,apporté,186
brows,sourcils,49
burden,fardeau,59
buried,enterré,56
burning,brûlant,51
business,Entreprise,235
cannot,ne peux pas,718
captain,capitaine,77
cardinal,cardinal,12
cares,se soucie,36
carry,porter,104
castle,Château,61
catch,capture,90
cause,cause,545
cease,cesser,63
certain,certain,221
chain,chaîne,80
chair,chaise,46
challenge,défi,55
chamber,chambre,147
chance,chance,199
change,changement,237
charge,charge,264
charity,charité,54
chaste,chaste,44
cheek,joue,152
cheer,acclamation,120
chide,gronder,55
chief,chef,143
child,enfant,373
choice,choix,72
church,église,88
citizen,citoyenne,62
civil,civil,66
claim,prétendre,186
clear,clair,84
close,proche,159
clothes,vêtements,41
clouds,des nuages,57
clown,pitre,19
college,Université,4
colour,Couleur,161
comes,vient,674
comfort,confort,240
coming,venir,159
command,commander,268
commanded,commandé,35
commend,saluer,119
commission,commission,52
commit,commettre,72
common,commun,228
companion,un compagnon,53
company,entreprise,212
complete,Achevée,20
complexion,complexion,47
condition,état,84
conduct,conduite,51
confess,avouer,170
conscience,conscience,124
consent,consentement,104
consider,considérer,74
constable,gendarme,19
constant,constant,69
contempt,mépris,50
content,contenu,252
contrary,contraire,47
copies,copies,4
copyright,droits d'auteur,7
could,pourrait,583
council,conseil,30
counsel,Conseil,172
count,compter,636
counterfeit,contrefaire,67
countess,comtesse,2
country,pays,239
courage,courage,74
course,cours,252
court,tribunal,437
courtesy,courtoisie,65
cousin,cousin,247
coward,lâche,144
crave,demander,70
creature,créature,107
credit,crédit,72
cross,traverser,122
crown,couronne,384
cruel,cruel,99
cunning,ruse,78
curse,malédiction,175
custom,Douane,70
dagger,dague,57
damned,damné,43
dance,Danse,109
danger,danger,218
darkness,obscurité,37
daughter,fille,481
deadly,mortel,50
dearest,très cher,56
dearly,chèrement,41
death,décès,876
deeds,actes,119
defend,défendre,84
degree,diplôme,62
delight,délice,83
deliver,livrer,176
demand,demande,81
denied,refusé,52
depart,partir,94
desert,désert,65
deserve,mériter,121
desire,le désir,290
despair,désespoir,52
desperate,désespéré,54
despite,malgré,49
device,dispositif,49
devil,diable,286
devise,concevoir,53
didst,didst,145
dinner,dîner,95
discourse,discours,65
discover,découvrir,72
disgrace,disgrâce,55
dishonour,déshonorer,66
dispatch,envoi,76
displeasure,mécontentement,43
disposition,disposition,51
distributed,distribué,2
divine,Divin,56
doctor,docteur,40
doing,Faire,78
doors,des portes,61
double,double,121
doubt,doute,239
drawn,tiré,86
dread,crainte,117
dreadful,horrible,61
dream,rêver,201
dreams,rêves,45
drink,boisson,201
drops,gouttes,56
drown,noyer,103
drums,tambours,37
drunk,ivre,111
durst,durst,45
dwell,habiter,71
dying,en train de mourir,51
early,de bonne heure,105
earth,Terre,375
effect,effet,112
either,Soit,300
elbow,coude,22
elder,aîné,50
embrace,embrasse,77
emilia,Émilie,3
emperor,empereur,17
empty,vide,51
encounter,rencontre,59
endure,supporter,78
enemies,ennemis,111
enemy,ennemi,167
enjoy,prendre plaisir,64
enough,assez,291
enter,entrer,530
entertain,divertir,98
entertainment,divertissement,38
entreat,supplier,153
equal,égal,66
estate,biens,58
eternal,éternel,38
every,chaque,519
everything,tout,41
excellent,excellent,104
except,sauf,41
excuse,excuse,79
execution,exécution,62
exeunt,sortir,7
express,Express,65
faces,visages,53
faint,perdre connaissance,70
fairy,Fée,41
faith,Foi,373
falls,des chutes,68
false,faux,337
familiar,familier,44
fancy,fantaisie,67
farewell,adieu,163
farther,plus loin,42
fashion,mode,123
fatal,fatal,43
father,père,1112
fault,faute,279
favour,favoriser,201
fearful,craintif,99
fears,peurs,74
feast,le banquet,127
feeble,faible,27
fellow,compagnon,420
fetch,chercher,107
field,champ,235
fiend,démon,78
fierce,féroce,41
fiery,ardent,47
fight,bats toi,310
figure,figure,65
finds,trouve,38
finger,doigt,112
first,première,471
flatter,flatter,131
flesh,la chair,141
flies,mouches,60
flight,vol,55
flood,inonder,59
flourish,fleurir,51
flower,fleur,100
flowers,fleurs,47
follow,suivre,491
folly,folie,79
foolish,insensé,101
fools,imbéciles,100
forbear,ancêtre,51
forbid,interdire,79
force,Obliger,270
forces,les forces,45
forest,forêt,78
forget,oublier,106
former,ancien,74
forsooth,en vérité,42
forth,en avant,431
fortune,fortune,386
forward,vers l'avant,100
fought,combattu,67
found,a trouvé,309
fourth,Quatrième,11
frame,Cadre,54
freely,librement,52
fresh,Frais,118
friend,ami,991
frown,froncer les sourcils,86
fruit,fruit,70
further,plus loin,187
gallant,galant,70
garden,jardin,53
gates,portes,105
gaunt,décharné,12
general,général,205
gentle,doux,898
